name,displayName,h,a,b,c,d,s,total,maxSpeedWithScarf,maxSpeed,secondSpeed,noAdjustment,minSpeed
キルリア,キルリア,38,35,35,65,55,50,278,168,112,102,70,49
サーナイト,サーナイト,68,65,65,125,115,80,518,217,145,132,100,76
エルレイド,エルレイド,68,125,65,65,115,80,518,217,145,132,100,76
スリープ,スリープ,60,48,45,43,90,42,328,154,103,94,62,42
スリーパー,スリーパー,85,73,70,73,115,67,483,195,130,119,87,64
ゴース,ゴース,30,35,30,100,35,80,310,217,145,132,100,76
ゴースト,ゴースト,45,50,45,115,55,95,405,241,161,147,115,90
ゲンガー,ゲンガー,60,65,60,130,75,110,500,267,178,162,130,103
ワッカネズミ,ワッカネズミ,50,50,45,40,45,75,305,208,139,127,95,72
イッカネズミ,イッカネズミ,74,75,70,65,75,111,470,268,179,163,131,104
ピチュー,ピチュー,20,40,15,35,35,60,205,184,123,112,80,58
ピカチュウ,ピカチュウ,35,55,40,50,50,90,320,234,156,142,110,85
ライチュウ,ライチュウ,60,90,55,90,80,110,485,267,178,162,130,103
パピモッチ,パピモッチ,37,55,70,30,55,65,312,192,128,117,85,63
バウッツェル,バウッツェル,57,80,115,50,80,95,477,241,161,147,115,90
ナマケロ,ナマケロ,60,60,60,35,35,30,280,135,90,82,50,31
ヤルキモノ,ヤルキモノ,80,80,80,55,55,90,440,234,156,142,110,85
ケッキング,ケッキング,150,160,100,95,65,100,670,250,167,152,120,94
アマカジ,アマカジ,42,30,38,30,38,32,210,138,92,84,52,33
アママイコ,アママイコ,52,40,48,40,48,62,290,187,125,114,82,60
アマージョ,アマージョ,72,120,98,50,98,72,510,204,136,124,92,69
ミニーブ,ミニーブ,41,35,45,48,51,30,250,135,90,82,50,31
オリーニョ,オリーニョ,52,53,60,78,78,33,354,139,93,85,53,34
オリーヴァ,オリーヴァ,78,69,90,125,109,39,510,150,100,91,59,39
ウソハチ,ウソハチ,50,80,95,10,45,10,290,102,68,62,30,13
ウソッキー,ウソッキー,70,100,115,30,65,30,410,135,90,82,50,31
イワンコ,イワンコ,45,65,40,30,40,60,280,184,123,112,80,58
ルガルガン,ルガルガン（真昼）,75,115,65,55,65,112,487,270,180,164,132,105
ルガルガン,ルガルガン（真夜中）,85,115,75,55,75,82,487,220,147,134,102,78
ルガルガン,ルガルガン（黄昏）,75,117,65,55,65,110,487,267,178,162,130,103
タンドン,タンドン,30,40,50,40,50,30,240,135,90,82,50,31
トロッゴン,トロッゴン,80,60,90,60,70,50,410,168,112,102,70,49
セキタンザン,セキタンザン,110,80,120,80,90,30,510,135,90,82,50,31
コリンク,コリンク,45,65,34,40,34,45,263,159,106,97,65,45
ルクシオ,ルクシオ,60,85,49,60,49,60,363,184,123,112,80,58
レントラー,レントラー,80,120,79,95,79,70,523,201,134,122,90,67
ムックル,ムックル,40,55,30,30,30,60,245,184,123,112,80,58
ムクバード,ムクバード,55,75,50,40,40,80,340,217,145,132,100,76
ムクホーク,ムクホーク,85,120,70,50,60,100,485,250,167,152,120,94
オドリドリ,オドリドリ,75,70,70,98,70,93,476,238,159,145,113,88
メリープ,メリープ,55,40,40,65,45,35,280,142,95,87,55,36
モココ,モココ,70,55,55,80,60,45,365,159,106,97,65,45
デンリュウ,デンリュウ,90,75,85,115,90,55,510,175,117,107,75,54
チュリネ,チュリネ,45,35,50,70,50,30,280,135,90,82,50,31
ドレディア,ドレディア,70,60,75,110,75,90,480,234,156,142,110,85
キノココ,キノココ,60,40,60,40,60,35,295,142,95,87,55,36
キノガッサ,キノガッサ,60,130,80,60,60,70,460,201,134,122,90,67
カジッチュ,カジッチュ,40,40,80,40,40,20,260,118,79,72,40,22
アップリュー,アップリュー,70,110,80,95,60,70,485,201,134,122,90,67
タルップル,タルップル,110,85,80,100,80,30,485,135,90,82,50,31
バネブー,バネブー,60,25,35,70,80,60,330,184,123,112,80,58
ブーピッグ,ブーピッグ,80,45,65,90,110,80,470,217,145,132,100,76
イキリンコ,イキリンコ,82,96,51,45,51,92,417,237,158,144,112,87
ムウマ,ムウマ,60,60,60,85,85,85,435,225,150,137,105,81
ムウマージ,ムウマージ,60,60,60,105,105,105,495,258,172,157,125,99
マクノシタ,マクノシタ,72,60,30,20,30,25,237,126,84,77,45,27
ハリテヤマ,ハリテヤマ,144,120,60,40,60,50,474,168,112,102,70,49
マケンカニ,マケンカニ,47,82,57,42,47,63,338,189,126,115,83,61
ケケンカニ,ケケンカニ,97,132,77,62,67,43,478,156,104,95,63,43
ヤトウモリ,ヤトウモリ,48,44,40,71,40,77,320,211,141,129,97,73
エンニュート,エンニュート,68,64,60,111,60,117,480,277,185,169,137,109
ゴマゾウ,ゴマゾウ,90,60,60,40,40,40,330,151,101,92,60,40
ドンファン,ドンファン,90,120,120,60,60,50,500,168,112,102,70,49
ゾウドウ,ゾウドウ,72,80,49,40,49,40,330,151,101,92,60,40
ダイオウドウ,ダイオウドウ,122,130,69,80,69,30,500,135,90,82,50,31
フカマル,フカマル,58,70,45,40,45,42,300,154,103,94,62,42
ガバイト,ガバイト,68,90,65,50,55,82,410,220,147,134,102,78
ガブリアス,ガブリアス,108,130,95,80,85,102,600,253,169,154,122,96
コジオ,コジオ,55,55,75,35,35,25,280,126,84,77,45,27
ジオヅム,ジオヅム,60,60,100,35,65,35,355,142,95,87,55,36
キョジオーン,キョジオーン,100,100,130,45,90,35,500,142,95,87,55,36
キャモメ,キャモメ,40,30,30,55,30,85,270,225,150,137,105,81
ペリッパー,ペリッパー,60,50,100,95,70,65,440,192,128,117,85,63
コイキング,コイキング,20,10,55,15,20,80,200,217,145,132,100,76
ギャラドス,ギャラドス,95,125,79,60,100,81,540,219,146,133,101,77
サシカマス,サシカマス,41,63,40,40,30,66,280,193,129,118,86,63
カマスジョー,カマスジョー,61,123,60,60,50,136,490,309,206,188,156,126
バスラオ,バスラオ,70,92,65,80,55,98,460,247,165,150,118,92
ゴクリン,ゴクリン,70,43,53,43,53,40,302,151,101,92,60,40
マルノーム,マルノーム,100,73,83,73,83,55,467,175,117,107,75,54
ニャース,ニャース,40,45,35,40,40,90,290,234,156,142,110,85
ペルシアン,ペルシアン,65,70,60,65,65,115,440,274,183,167,135,108
フワンテ,フワンテ,90,50,34,60,44,70,348,201,134,122,90,67
フワライド,フワライド,150,80,44,90,54,80,498,217,145,132,100,76
フラベベ,フラベベ,44,38,39,61,79,42,303,154,103,94,62,42
フラエッテ,フラエッテ,54,45,47,75,98,52,371,171,114,104,72,51
フラージェス,フラージェス,78,65,68,112,154,75,552,208,139,127,95,72
ディグダ,ディグダ,10,55,25,35,45,95,265,241,161,147,115,90
ダグトリオ,ダグトリオ,35,100,50,50,70,120,425,283,189,172,140,112
コータス,コータス,70,85,140,85,70,20,470,118,79,72,40,22
ドンメル,ドンメル,60,60,40,65,45,35,305,142,95,87,55,36
バクーダ,バクーダ,70,100,70,105,75,40,460,151,101,92,60,40
ドーミラー,ドーミラー,57,24,86,24,86,23,300,123,82,75,43,25
ドータクン,ドータクン,67,89,116,79,116,33,500,139,93,85,53,34
キバゴ,キバゴ,46,87,60,30,40,57,320,178,119,109,77,55
オノンド,オノンド,66,117,70,40,50,67,410,195,130,119,87,64
オノノクス,オノノクス,76,147,90,60,70,97,540,244,163,149,117,91
マンキー,マンキー,40,80,35,35,45,70,305,201,134,122,90,67
オコリザル,オコリザル,65,105,60,60,70,95,455,241,161,147,115,90
コノヨザル,コノヨザル,110,115,80,50,90,90,535,234,156,142,110,85
アサナン,アサナン,30,40,55,40,55,60,280,184,123,112,80,58
チャーレム,チャーレム,60,60,75,60,75,80,410,217,145,132,100,76
リオル,リオル,40,70,40,35,40,60,285,184,123,112,80,58
ルカリオ,ルカリオ,70,110,70,115,70,90,525,234,156,142,110,85
カルボウ,カルボウ,40,50,40,50,40,35,255,142,95,87,55,36
グレンアルマ,グレンアルマ,85,60,100,125,80,75,525,208,139,127,95,72
ソウブレイズ,ソウブレイズ,75,125,80,60,100,85,525,225,150,137,105,81
ドジョッチ,ドジョッチ,50,48,43,46,41,60,288,184,123,112,80,58
ナマズン,ナマズン,110,78,73,76,71,60,468,184,123,112,80,58
ズピカ,ズピカ,61,31,41,59,35,45,272,159,106,97,65,45
ハラバリー,ハラバリー,109,64,91,103,83,45,495,159,106,97,65,45
ヌメラ,ヌメラ,45,50,35,55,75,40,300,151,101,92,60,40
ヌメイル,ヌメイル,68,75,53,83,113,60,452,184,123,112,80,58
ヌメルゴン,ヌメルゴン,90,100,70,110,150,80,600,217,145,132,100,76
グレッグル,グレッグル,48,61,40,61,40,50,300,168,112,102,70,49
ドクロッグ,ドクロッグ,83,106,65,86,65,85,490,225,150,137,105,81
カイデン,カイデン,40,40,35,55,40,70,280,201,134,122,90,67
タイカイデン,タイカイデン,70,70,60,105,60,125,490,291,194,177,145,117
イーブイ,イーブイ,55,55,50,45,65,55,325,175,117,107,75,54
シャワーズ,シャワーズ,130,65,60,110,95,65,525,192,128,117,85,63
サンダース,サンダース,65,65,60,110,95,130,525,300,200,182,150,121
ブースター,ブースター,65,130,60,95,110,65,525,192,128,117,85,63
エーフィ,エーフィ,65,65,60,130,95,110,525,267,178,162,130,103
ブラッキー,ブラッキー,95,65,110,60,130,65,525,192,128,117,85,63
リーフィア,リーフィア,65,110,130,60,65,95,525,241,161,147,115,90
グレイシア,グレイシア,65,60,110,130,95,65,525,192,128,117,85,63
ニンフィア,ニンフィア,95,65,65,110,130,60,525,184,123,112,80,58
ノコッチ,ノコッチ,100,70,70,65,65,45,415,159,106,97,65,45
ノココッチ,ノココッチ,125,100,80,85,75,55,520,175,117,107,75,54
シキジカ,シキジカ,60,60,50,40,50,75,335,208,139,127,95,72
メブキジカ,メブキジカ,80,100,70,60,70,95,475,241,161,147,115,90
キリンリキ,キリンリキ,70,80,65,90,65,85,455,225,150,137,105,81
リキキリン,リキキリン,120,90,70,110,70,60,520,184,123,112,80,58
ベトベター,ベトベター,80,80,50,40,50,25,325,126,84,77,45,27
ベトベトン,ベトベトン,105,105,75,65,100,50,500,168,112,102,70,49
オラチフ,オラチフ,60,78,60,40,51,51,340,169,113,103,71,50
マフィティフ,マフィティフ,80,120,90,60,70,85,505,225,150,137,105,81
エレズン,エレズン,40,38,35,54,35,40,242,151,101,92,60,40
ストリンダー,ストリンダー,75,98,70,114,70,75,502,208,139,127,95,72
デデンネ,デデンネ,67,58,57,81,67,101,431,252,168,153,121,95
パチリス,パチリス,60,45,70,45,90,95,405,241,161,147,115,90
シルシュルー,シルシュルー,40,65,35,40,35,75,290,208,139,127,95,72
タギングル,タギングル,63,95,65,80,72,110,485,267,178,162,130,103
オドシシ,オドシシ,73,95,62,85,65,85,465,225,150,137,105,81
タマゲタケ,タマゲタケ,69,55,45,55,55,15,294,109,73,67,35,18
モロバレル,モロバレル,114,85,70,85,80,30,464,135,90,82,50,31
ビリリダマ,ビリリダマ,40,30,50,55,55,100,330,250,167,152,120,94
マルマイン,マルマイン,60,50,70,80,80,150,490,333,222,202,170,139
コイル,コイル,25,35,70,95,55,45,325,159,106,97,65,45
レアコイル,レアコイル,50,60,95,120,70,70,465,201,134,122,90,67
ジバコイル,ジバコイル,70,70,115,130,90,60,535,184,123,112,80,58
メタモン,メタモン,48,48,48,48,48,48,288,165,110,100,68,47
ガーディ,ガーディ,55,70,45,70,50,60,350,184,123,112,80,58
ウインディ,ウインディ,90,110,80,100,80,95,555,241,161,147,115,90
ヒメグマ,ヒメグマ,60,80,50,50,50,40,330,151,101,92,60,40
リングマ,リングマ,90,130,75,75,75,55,500,175,117,107,75,54
ザングース,ザングース,73,115,60,60,60,90,458,234,156,142,110,85
ハブネーク,ハブネーク,73,100,60,100,60,65,458,192,128,117,85,63
チルット,チルット,45,40,60,40,75,50,310,168,112,102,70,49
チルタリス,チルタリス,75,70,90,70,105,80,490,217,145,132,100,76
メェークル,メェークル,66,65,48,62,57,52,350,171,114,104,72,51
ゴーゴート,ゴーゴート,123,100,62,97,81,68,531,198,132,120,88,65
ケンタロス,ケンタロス,75,110,105,30,70,100,490,250,167,152,120,94
シシコ,シシコ,62,50,58,73,54,72,369,204,136,124,92,69
カエンジシ,カエンジシ,86,68,72,109,66,106,507,259,173,158,126,99
スカンプー,スカンプー,63,63,47,41,41,74,329,207,138,126,94,71
スカタンク,スカタンク,103,93,67,71,61,84,479,223,149,136,104,80
ゾロア,ゾロア,40,65,40,80,40,65,330,192,128,117,85,63
ゾロアーク,ゾロアーク,60,105,60,120,60,105,510,258,172,157,125,99
ニューラ,ニューラ,55,95,55,35,75,115,430,274,183,167,135,108
マニューラ,マニューラ,70,120,65,45,85,125,510,291,194,177,145,117
ヤミカラス,ヤミカラス,60,85,42,85,42,91,405,235,157,143,111,86
ドンカラス,ドンカラス,100,125,52,105,52,71,505,202,135,123,91,68
ゴチム,ゴチム,45,30,50,55,65,45,290,159,106,97,65,45
ゴチミル,ゴチミル,60,45,70,75,85,55,390,175,117,107,75,54
ゴチルゼル,ゴチルゼル,70,55,95,95,110,65,490,192,128,117,85,63
ヤバチャ,ヤバチャ,40,45,45,74,54,50,308,168,112,102,70,49
ポットデス,ポットデス,60,65,65,134,114,70,508,201,134,122,90,67
ミミッキュ,ミミッキュ,55,90,80,50,105,96,476,243,162,148,116,90
クレッフィ,クレッフィ,57,80,91,80,87,75,470,208,139,127,95,72
イエッサン,イエッサン♀,70,55,65,95,105,85,475,225,150,137,105,81
イエッサン,イエッサン♂,60,65,55,105,95,95,475,241,161,147,115,90
アノクサ,アノクサ,40,65,30,45,35,60,275,184,123,112,80,58
アノホラグサ,アノホラグサ,40,115,70,80,70,90,480,234,156,142,110,85
ノノクラゲ,ノノクラゲ,,40,35,50,100,70,335,201,134,122,90,67
リククラゲ,リククラゲ,80,70,65,80,120,100,515,250,167,152,120,94
トロピウス,トロピウス,99,68,83,72,87,51,460,169,113,103,71,50
カリキリ,カリキリ,40,55,35,50,35,35,250,142,95,87,55,36
ラランテス,ラランテス,70,105,90,80,90,45,480,159,106,97,65,45
ガケガニ,ガケガニ,70,110,115,35,55,75,460,208,139,127,95,72
カプサイジ,カプサイジ,50,62,40,62,40,50,304,168,112,102,70,49
スコヴィラン,スコヴィラン,65,108,65,108,65,75,486,208,139,127,95,72
サボネア,サボネア,55,85,40,85,40,35,340,142,95,87,55,36
ノクタス,ノクタス,70,115,60,115,60,55,475,175,117,107,75,54
シガロコ,シガロコ,41,50,60,31,58,30,270,135,90,82,50,31
ベラカス,ベラカス,75,50,85,115,110,45,480,159,106,97,65,45
コンパン,コンパン,60,55,50,40,55,45,305,159,106,97,65,45
モルフォン,モルフォン,70,65,60,90,75,90,450,234,156,142,110,85
クヌギダマ,クヌギダマ,50,65,90,35,35,15,290,109,73,67,35,18
フォレトス,フォレトス,75,90,140,60,60,40,465,151,101,92,60,40
ストライク,ストライク,70,110,80,55,80,105,500,258,172,157,125,99
ハッサム,ハッサム,70,130,100,55,80,65,500,192,128,117,85,63
ヘラクロス,ヘラクロス,80,125,75,40,95,85,500,225,150,137,105,81
ヒラヒナ,ヒラヒナ,30,35,30,55,50,75,275,208,139,127,95,72
クエスパトラ,クエスパトラ,95,60,60,101,60,105,481,258,172,157,125,99
ヒポポタス,ヒポポタス,68,72,78,38,42,32,330,138,92,84,52,33
カバルドン,カバルドン,108,112,118,68,72,47,525,162,108,99,67,46
メグロコ,メグロコ,50,72,35,35,35,65,292,192,128,117,85,63
ワルビル,ワルビル,60,82,45,45,45,74,351,207,138,126,94,71
ワルビアル,ワルビアル,95,117,80,65,70,92,519,237,158,144,112,87
スナヘビ,スナヘビ,52,57,75,35,50,46,315,160,107,98,66,45
サダイジャ,サダイジャ,72,107,125,65,70,71,510,202,135,123,91,68
ドロバンコ,ドロバンコ,70,100,70,45,55,45,385,159,106,97,65,45
バンバドロ,バンバドロ,100,125,100,55,85,35,500,142,95,87,55,36
メラルバ,メラルバ,55,85,55,50,55,60,360,184,123,112,80,58
ウルガモス,ウルガモス,85,60,65,135,105,100,550,250,167,152,120,94
タツベイ,タツベイ,45,75,60,40,30,50,300,168,112,102,70,49
コモルー,コモルー,65,95,100,60,50,50,420,168,112,102,70,49
ボーマンダ,ボーマンダ,95,135,80,110,80,100,600,250,167,152,120,94
カヌチャン,カヌチャン,50,45,45,35,64,58,297,181,121,110,78,56
ナカヌチャン,ナカヌチャン,65,55,55,45,82,78,380,214,143,130,98,74
デカヌチャン,デカヌチャン,85,75,77,70,105,94,506,240,160,146,114,89
ミブリム,ミブリム,42,30,45,56,53,39,265,150,100,91,59,39
テブリム,テブリム,57,40,65,86,73,49,370,166,111,101,69,48
ブリムオン,ブリムオン,57,90,95,136,103,29,510,133,89,81,49,30
ベロバー,ベロバー,45,45,30,55,40,50,265,168,112,102,70,49
ギモー,ギモー,65,60,45,75,55,70,370,201,134,122,90,67
オーロンゲ,オーロンゲ,95,120,65,95,75,60,510,184,123,112,80,58
ウミディグダ,ウミディグダ,10,55,25,35,25,95,245,241,161,147,115,90
ウミトリオ,ウミトリオ,35,100,50,50,70,120,425,283,189,172,140,112
オトシドリ,オトシドリ,70,103,85,60,85,82,485,220,147,134,102,78
ナミイルカ,ナミイルカ,70,45,40,45,40,75,315,208,139,127,95,72
イルカマン,イルカマン（ナイーブ）,100,70,72,53,62,100,457,250,167,152,120,94
イルカマン,イルカマン（マイティ）,100,160,97,106,87,100,650,250,167,152,120,94
ブロロン,ブロロン,45,70,63,30,45,47,300,162,108,99,67,46
ブロロローム,ブロロローム,80,119,90,54,67,90,500,234,156,142,110,85
モトトカゲ,モトトカゲ,70,95,65,85,65,121,501,285,190,173,141,113
ミミズズ,ミミズズ,70,85,145,60,55,65,480,192,128,117,85,63
ヤミラミ,ヤミラミ,50,75,75,65,65,50,380,168,112,102,70,49
カゲボウズ,カゲボウズ,44,75,35,63,33,45,295,159,106,97,65,45
ジュペッタ,ジュペッタ,64,115,65,83,63,65,455,192,128,117,85,63
タイレーツ,タイレーツ,65,100,100,70,60,75,470,208,139,127,95,72
ルチャブル,ルチャブル,78,92,75,74,63,118,500,280,187,170,138,110
ミカルゲ,ミカルゲ,50,92,108,92,108,35,485,142,95,87,55,36
オンバット,オンバット,40,30,35,45,40,55,245,175,117,107,75,54
オンバーン,オンバーン,85,70,80,97,80,123,535,288,192,175,143,115
ドラメシヤ,ドラメシヤ,28,60,30,40,30,82,270,220,147,134,102,78
ドロンチ,ドロンチ,68,80,50,60,50,102,410,253,169,154,122,96
ドラパルト,ドラパルト,88,120,75,100,75,142,600,319,213,194,162,132
キラーメ,キラーメ,48,35,42,105,60,60,350,184,123,112,80,58
キラフロル,キラフロル,83,55,90,130,81,86,525,226,151,138,106,81
ロトム,ロトム（通常）,50,50,77,95,77,91,440,235,157,143,111,86
ロトム,ロトム（変身）,50,65,107,105,107,86,520,226,151,138,106,81
ボチ,ボチ,50,61,60,30,55,34,290,141,94,86,54,35
ハカドッグ,ハカドッグ,72,101,100,50,97,68,488,198,132,120,88,65
ヤレユータン,ヤレユータン,90,60,80,90,110,60,490,184,123,112,80,58
ナゲツケサル,ナゲツケサル,100,120,90,40,60,80,490,217,145,132,100,76
ネッコアラ,ネッコアラ,65,115,65,75,95,65,480,192,128,117,85,63
ヨーギラス,ヨーギラス,50,64,50,45,50,41,300,153,102,93,61,41
サナギラス,サナギラス,70,84,70,65,70,51,410,169,113,103,71,50
バンギラス,バンギラス,100,134,110,95,100,61,600,186,124,113,81,59
イシヘンジン,イシヘンジン,100,125,135,20,20,70,470,201,134,122,90,67
コオリッポ,コオリッポ（ナイス）,75,80,70,65,50,130,470,300,200,182,150,121
コオリッポ,コオリッポ（アイス）,75,50,110,65,90,50,440,168,112,102,70,49
バチンウニ,バチンウニ,48,101,95,91,85,15,435,109,73,67,35,18
スナバァ,スナバァ,55,55,80,70,45,15,320,109,73,67,35,18
シロデスナ,シロデスナ,85,75,110,100,75,35,480,142,95,87,55,36
ヤドン,ヤドン,90,65,65,40,40,15,315,109,73,67,35,18
ヤドラン,ヤドラン,95,75,110,100,80,30,490,135,90,82,50,31
ヤドキング,ヤドキング,95,75,80,100,110,30,490,135,90,82,50,31
カラナクシ,カラナクシ,76,48,48,57,62,34,325,141,94,86,54,35
トリトドン,トリトドン,111,83,68,92,82,39,475,150,100,91,59,39
シェルダー,シェルダー,30,65,100,45,20,40,300,151,101,92,60,40
パルシェン,パルシェン,50,95,180,85,45,70,525,201,134,122,90,67
ハリーセン,ハリーセン,65,95,85,55,55,85,440,225,150,137,105,81
ラブカス,ラブカス,43,30,55,40,65,97,330,244,163,149,117,91
ケイコウオ,ケイコウオ,49,49,56,49,61,66,330,193,129,118,86,63
ネオラント,ネオラント,69,69,76,69,86,91,460,235,157,143,111,86
ハギギシリ,ハギギシリ,68,105,70,70,70,92,475,237,158,144,112,87
ママンボウ,ママンボウ,165,75,80,40,45,65,470,192,128,117,85,63
クズモー,クズモー,50,60,60,60,60,30,320,135,90,82,50,31
ドラミドロ,ドラミドロ,65,75,90,97,123,44,494,157,105,96,64,44
ウデッポウ,ウデッポウ,50,53,62,58,63,44,330,157,105,96,64,44
ブロスター,ブロスター,71,73,88,120,89,59,500,183,122,111,79,57
シビシラス,シビシラス,35,55,40,45,40,60,275,184,123,112,80,58
シビビール,シビビール,65,85,70,75,70,40,405,151,101,92,60,40
シビルドン,シビルドン,85,115,80,105,80,50,515,168,112,102,70,49
ヒドイデ,ヒドイデ,50,53,62,43,52,45,305,159,106,97,65,45
ドヒドイデ,ドヒドイデ,50,63,152,53,142,35,495,142,95,87,55,36
カラミンゴ,カラミンゴ,82,115,74,75,64,90,500,234,156,142,110,85
ミニリュウ,ミニリュウ,41,64,45,50,50,50,300,168,112,102,70,49
ハクリュー,ハクリュー,61,84,65,70,70,70,420,201,134,122,90,67
カイリュー,カイリュー,91,134,95,100,100,80,600,217,145,132,100,76
ユキハミ,ユキハミ,30,25,35,45,30,20,185,118,79,72,40,22
モスノウ,モスノウ,70,65,60,125,90,65,475,192,128,117,85,63
ユキカブリ,ユキカブリ,60,62,50,62,60,40,334,151,101,92,60,40
ユキノオー,ユキノオー,90,92,75,92,85,60,494,184,123,112,80,58
デリバード,デリバード,45,55,45,65,45,75,330,208,139,127,95,72
クマシュン,クマシュン,55,70,40,60,40,40,305,151,101,92,60,40
ツンベアー,ツンベアー,95,130,80,70,80,50,505,168,112,102,70,49
ユキワラシ,ユキワラシ,50,50,50,50,50,50,300,168,112,102,70,49
オニゴーリ,オニゴーリ,80,80,80,80,80,80,480,217,145,132,100,76
ユキメノコ,ユキメノコ,70,80,70,80,70,110,480,267,178,162,130,103
フリージオ,フリージオ,80,50,50,95,135,105,515,258,172,157,125,99
アルクジラ,アルクジラ,108,68,45,30,40,43,334,156,104,95,63,43
ハルクジラ,ハルクジラ,175,113,65,45,55,93,546,238,159,145,113,88
カチコール,カチコール,55,69,85,32,35,28,304,132,88,80,48,29
クレベース,クレベース,95,117,184,44,46,28,514,132,88,80,48,29
ワシボン,ワシボン,70,83,50,37,50,60,350,184,123,112,80,58
